,eval_timesteps,eval_mean_returns,eval_std_returns
0,250,9.466666666666667,0.33993463423951886
1,500,9.333333333333334,0.5577733510227167
2,750,9.666666666666666,0.3651483716701107
3,1000,13.266666666666666,1.6110727964792761
4,1250,20.26666666666667,16.757618499589306
5,1500,12.533333333333335,5.097275960964074
6,1750,83.06666666666668,72.00382705878287
7,2000,126.66666666666667,74.46162322521134
8,2250,92.00000000000001,56.68431097853365
9,2500,120.06666666666668,65.54469213190849
10,2750,98.73333333333332,48.30247290655923
11,3000,138.66666666666669,65.68849045135515
12,3250,170.4,96.40548624314789
13,3500,168.26666666666665,71.72831457040596
14,3750,169.66666666666669,44.617883808575634
15,4000,187.06666666666666,39.00336167847872
16,4250,195.13333333333333,22.004645974076578
17,4500,195.39999999999998,38.37325457485547
18,4750,224.2,65.40152903411357
19,5000,224.73333333333335,48.36270372002697
20,5250,224.2666666666667,65.13418627895969
21,5500,202.79999999999998,30.467906612258957
22,5750,210.0666666666667,59.72991061622495
23,6000,213.7333333333333,49.80334660776657
24,6250,211.73333333333335,35.28323492349684
25,6500,250.0666666666667,56.783957045786956
26,6750,233.4,65.61111017028882
27,7000,232.2666666666667,50.57025915606041
28,7250,235.66666666666669,64.32590630704105
29,7500,235.13333333333335,59.277351867677474
30,7750,224.5333333333333,46.519577718538144
31,8000,210.8666666666667,47.57665160325785
32,8250,215.86666666666665,39.35061767127819
33,8500,237.0,52.683119792881584
34,8750,225.93333333333334,50.609353549187595
35,9000,216.33333333333334,54.35153069499414
36,9250,206.7333333333333,43.90565643133772
37,9500,228.66666666666666,53.42200961318389
38,9750,222.93333333333334,61.061862984281035
39,10000,235.33333333333331,66.69166198092366
40,10250,229.66666666666669,71.27255978129156
41,10500,216.6,64.48269362997934
42,10750,246.1333333333333,89.98138079007728
43,11000,220.86666666666665,57.40600046065644
44,11250,232.2666666666667,78.45717869569927
45,11500,218.86666666666665,75.19710396314771
46,11750,247.0,109.63961165766888
47,12000,238.2,93.05878667690536
48,12250,224.4,77.20143924968123
49,12500,218.46666666666664,73.41256326027886
50,12750,207.7333333333333,63.08350726528202
51,13000,199.6,56.40346719051154
52,13250,189.73333333333332,51.49084060943913
53,13500,197.93333333333334,40.22569659641294
54,13750,195.53333333333336,37.00906795788176
55,14000,185.06666666666666,37.84318520773148
56,14250,178.2,42.333385826739104
57,14500,195.86666666666665,31.220079009082173
58,14750,183.8,34.68051005648241
59,15000,191.86666666666665,30.19536388255654
60,15250,186.13333333333335,30.738755848458005
61,15500,199.13333333333333,30.740201690945366
62,15750,217.0,51.79489464330545
63,16000,187.53333333333333,27.961560916531266
64,16250,201.66666666666666,30.345418837848392
65,16500,215.0,47.01725451599894
66,16750,210.2,36.31810078245343
67,17000,195.93333333333334,31.756993980329224
68,17250,207.8,39.6986425740506
69,17500,196.59999999999997,25.27924049491994
70,17750,189.06666666666666,26.70780160677151
71,18000,207.0,37.03811850272936
72,18250,194.5333333333333,25.665887434058806
73,18500,198.26666666666668,25.569426187451985
74,18750,199.0,23.831818133653908
75,19000,180.86666666666665,19.709670497273947
76,19250,185.93333333333334,25.632791498391274
77,19500,199.53333333333333,27.505635786143902
78,19750,206.9333333333333,33.81938957330707
79,20000,198.53333333333336,29.078132295210736
80,20250,198.66666666666666,29.759032242329386
81,20500,214.93333333333334,31.89385172376924
82,20750,209.06666666666666,38.39178152793757
83,21000,213.0666666666667,43.96837247133192
84,21250,212.26666666666665,44.79107053866876
85,21500,223.0,59.13111608018986
86,21750,231.4,59.81727732575819
87,22000,247.33333333333334,79.01026656215141
88,22250,222.73333333333335,56.45308770218961
89,22500,243.40000000000003,64.32673541295944
90,22750,234.13333333333335,61.069941688016854
91,23000,210.8,62.5429985423362
92,23250,229.0,77.32155082654656
93,23500,229.33333333333331,73.95554220085349
94,23750,241.6,90.92399756573252
95,24000,233.33333333333334,65.9787844689488
96,24250,242.46666666666664,105.90931131030086
97,24500,239.26666666666665,109.03728210519962
98,24750,250.6,107.89756458995932
99,25000,247.26666666666665,103.2675919906897
100,25250,246.8666666666667,107.51095034667141
101,25500,256.6,125.29474583290927
102,25750,265.2666666666667,127.32572403092786
103,26000,274.4,124.61360724700619
104,26250,260.46666666666664,124.32066065890523
105,26500,270.46666666666664,120.24818778953248
106,26750,273.4,120.59471151109591
107,27000,259.19999999999993,106.89488086693187
108,27250,200.73333333333332,52.850901390399926
109,27500,229.86666666666665,60.092003535319805
110,27750,198.66666666666669,32.92618005984498
111,28000,255.6,99.30321691107942
112,28250,218.5333333333333,45.40758624821285
113,28500,231.13333333333335,62.08904000617894
114,28750,211.06666666666666,41.810897037866944
115,29000,221.6,54.107465083644215
116,29250,208.6,44.2705821561502
117,29500,202.8,38.03483783176797
118,29750,211.33333333333334,35.956146128922725
119,30000,194.8,24.445494926923086
120,30250,193.26666666666668,29.88972324320779
121,30500,186.6,28.794598258855583
122,30750,180.73333333333332,36.50108065371337
123,31000,188.79999999999998,62.331942943494965
124,31250,191.86666666666665,52.22966377239833
125,31500,180.6,55.623096721495905
126,31750,171.53333333333333,44.271686462368045
127,32000,167.33333333333331,39.049825721619925
128,32250,174.66666666666669,48.84123940551331
129,32500,174.53333333333333,46.48086822673509
130,32750,171.53333333333333,45.353230927416355
131,33000,169.2,49.823064716833485
132,33250,176.26666666666665,47.756046737559835
133,33500,177.26666666666668,47.329295602430236
134,33750,177.86666666666667,63.620611614650656
135,34000,183.13333333333333,48.738577009273556
136,34250,170.6,48.59464991128138
137,34500,156.33333333333331,43.14935302720849
138,34750,187.06666666666666,70.40593409333873
139,35000,183.46666666666667,30.188003503967526
140,35250,177.46666666666667,46.136801411069285
141,35500,182.8,42.96386078244521
142,35750,208.0,36.45697616521578
143,36000,195.59999999999997,39.68677361539988
144,36250,216.0,36.42892623543366
145,36500,181.53333333333336,54.47715117368015
146,36750,190.73333333333335,29.707761799083933
147,37000,240.2,76.0539574541946
148,37250,263.2666666666667,121.72489930622703
149,37500,239.2666666666667,73.94604639720625
150,37750,225.4666666666667,61.636425017102425
151,38000,255.73333333333335,124.20760398980768
152,38250,274.46666666666664,96.56744332905946
153,38500,241.26666666666665,82.2531053111877
154,38750,236.53333333333336,82.61304712668306
155,39000,257.8,122.76800162184861
156,39250,247.2,87.71230751091257
157,39500,267.53333333333336,118.76692394022093
158,39750,264.1333333333333,97.95295923157309
159,40000,275.1333333333333,117.48316191409444
160,40250,259.6666666666667,121.59184914202834
161,40500,249.06666666666666,127.49298891398783
162,40750,262.26666666666665,116.32414481382042
163,41000,262.9333333333333,120.38205846387575
164,41250,256.6,123.07403372676862
165,41500,224.8666666666667,55.76880848646491
166,41750,208.1333333333333,33.950028636872226
167,42000,214.73333333333335,34.58927258237412
168,42250,218.46666666666664,35.51625605894355
169,42500,193.8,26.275125541512104
170,42750,195.46666666666667,23.318662054243163
171,43000,187.66666666666666,17.32948675267422
172,43250,186.93333333333334,22.250493128118407
173,43500,189.6,52.01555322956566
174,43750,188.0,47.007328033923486
175,44000,184.33333333333334,51.86135362676143
176,44250,172.06666666666666,55.63548028611478
177,44500,181.53333333333333,52.53341793563407
178,44750,173.13333333333335,50.644556579272276
179,45000,178.8,48.82467500034065
180,45250,183.06666666666666,51.874806559210946
181,45500,194.60000000000002,51.20824586377124
182,45750,193.06666666666666,15.912818033829758
183,46000,204.4,24.889444438244187
184,46250,209.8,36.995254950991885
185,46500,218.66666666666666,29.601051032391094
186,46750,205.1333333333333,23.00396101157846
187,47000,220.2666666666667,36.13210330009712
188,47250,227.46666666666664,49.57131787188591
189,47500,247.33333333333334,62.864581089478
190,47750,244.33333333333331,75.65300904642048
191,48000,249.53333333333336,106.65949975922862
192,48250,276.6,112.11054068790023
193,48500,288.4,111.70544600272032
194,48750,256.93333333333334,122.94739615877282
195,49000,269.53333333333336,116.92097996320231
196,49250,268.6666666666667,120.56662519582736
197,49500,257.4,122.90563679325514
198,49750,266.53333333333336,121.12098634560952
199,50000,257.06666666666666,123.37718139465211
200,50250,255.2,124.82211342546641
201,50500,254.66666666666666,124.35397505150814
202,50750,251.46666666666664,126.26402672354641
203,51000,260.8666666666667,119.40939847618547
204,51250,253.0666666666667,115.64724140438648
205,51500,242.0,71.93206671730086
206,51750,238.46666666666664,70.38579402123699
207,52000,216.6,32.261707607902245
208,52250,229.13333333333335,52.76177067199739
209,52500,214.86666666666665,31.325247183559647
210,52750,219.4,36.22730707322555
211,53000,237.46666666666664,52.66776370165467
212,53250,222.0,44.38768598008537
213,53500,216.26666666666665,26.77013261080341
214,53750,217.2,21.717990494313955
215,54000,229.0,46.934469683213045
216,54250,239.6,54.48114862551593
217,54500,224.2666666666667,39.38606634613594
218,54750,256.1333333333333,86.49896595399919
219,55000,255.4,75.19970449114516
220,55250,231.66666666666669,38.32318706301274
221,55500,240.66666666666666,49.899009119531726
222,55750,240.6,58.03615731210635
223,56000,281.1333333333333,112.67289923589533
224,56250,275.6,112.16246153583549
225,56500,280.33333333333337,114.22434066345055
226,56750,310.73333333333335,109.00364927632265
227,57000,287.20000000000005,115.173415142365
228,57250,287.8666666666667,113.20043187982004
229,57500,312.7333333333333,111.2659276987644
230,57750,279.33333333333337,116.70665981187383
231,58000,295.0,113.37705039184762
232,58250,302.7333333333333,112.66753451342286
233,58500,301.8666666666667,120.15704538459472
234,58750,308.9333333333333,124.83792158902143
235,59000,306.0,123.87753809486385
236,59250,313.73333333333335,120.53130529267305
237,59500,327.8,114.36619547168064
238,59750,298.0,114.39055905099862
239,60000,307.0,117.35151374301815
240,60250,315.0,114.51365760370147
241,60500,299.2,115.54654665737287
242,60750,303.46666666666664,112.12544562032097
243,61000,289.8,112.17102022259483
244,61250,298.33333333333337,111.08515252323826
245,61500,285.8666666666667,115.76539494454579
246,61750,299.06666666666666,116.93557580517954
247,62000,303.19999999999993,107.34546515288334
248,62250,292.2,112.53515006432434
249,62500,289.06666666666666,108.87085111370364
250,62750,300.8,110.7815869176823
251,63000,313.7333333333333,104.14763026055317
252,63250,293.1333333333333,113.32952934792513
253,63500,309.4,101.12003867791104
254,63750,283.06666666666666,113.37281665176867
255,64000,309.66666666666663,103.19453043214602
256,64250,316.73333333333335,94.681548126103
257,64500,296.3333333333333,110.47191699452148
258,64750,287.6,110.93169069296654
259,65000,303.1333333333333,104.16644799977048
260,65250,279.53333333333336,114.08994502389575
261,65500,291.53333333333336,109.8796513362587
262,65750,297.73333333333335,109.99280784568496
263,66000,316.7333333333333,102.39474812921044
264,66250,317.0,112.30217174114567
265,66500,321.8666666666667,98.71701418139068
266,66750,309.8666666666667,111.49501234484786
267,67000,287.53333333333336,113.68643034436627
268,67250,300.8,106.41858651361403
269,67500,299.2,103.05308233031062
270,67750,313.8666666666666,108.01205694016036
271,68000,276.8666666666667,113.88934200451868
272,68250,304.3333333333333,116.06951939821813
273,68500,277.8666666666667,124.29330901809104
274,68750,284.3333333333333,114.89666855241907
275,69000,290.4666666666667,115.14832946151576
276,69250,303.2,111.58884850696826
277,69500,287.80000000000007,112.93923636677872
278,69750,302.06666666666666,106.50016171088402
279,70000,297.06666666666666,111.34957965295105
280,70250,281.8,115.87629419150215
281,70500,288.93333333333334,111.28410089096785
282,70750,297.0,103.77689745046555
283,71000,277.6666666666667,111.85625696500944
284,71250,302.0,102.88720900956434
285,71500,295.80000000000007,107.03698218632454
286,71750,299.0666666666667,106.27749840237428
287,72000,298.06666666666666,104.2372081147397
288,72250,289.8666666666667,107.4483028147852
289,72500,303.6666666666667,106.0303939653364
290,72750,281.2,119.59423992075129
291,73000,283.26666666666665,111.93279729869664
292,73250,285.5333333333333,112.44724195026849
293,73500,296.4,107.75474209724806
294,73750,307.53333333333336,110.52895045592756
295,74000,305.66666666666663,101.22208805943053
296,74250,282.46666666666664,118.71751719476316
297,74500,306.73333333333335,99.88557898359946
298,74750,295.8666666666667,106.84164814236898
299,75000,282.6666666666667,111.11935524970937
300,75250,319.8,104.60881628450082
301,75500,309.0,120.17450274958958
302,75750,317.93333333333334,98.50446126388839
303,76000,313.0,103.0788263633441
304,76250,314.5333333333333,113.57554509860141
305,76500,306.4,103.02910052774195
306,76750,333.73333333333335,105.59511773225545
307,77000,289.73333333333335,111.51609749269385
308,77250,298.6,105.2834058888463
309,77500,304.53333333333336,108.87232073498858
310,77750,300.6,111.27930824930773
311,78000,273.0,114.61064522983892
312,78250,279.53333333333336,113.55441182289856
313,78500,272.6,118.24783765934627
314,78750,300.06666666666666,105.0831205390391
315,79000,292.8,108.77716263587276
316,79250,274.73333333333335,116.86524053132497
317,79500,290.1333333333333,107.58864045778977
318,79750,323.33333333333337,99.20327055540501
319,80000,305.6,99.26539063428793
320,80250,297.8,108.9431248149439
321,80500,276.1333333333333,114.80410368197742
322,80750,294.0,111.22929270455492
323,81000,300.2,118.65722808905397
324,81250,313.6,99.2064962030657
325,81500,292.1333333333333,108.62997335501427
326,81750,302.1333333333333,102.6706925617584
327,82000,337.1333333333333,92.4127456336817
328,82250,291.26666666666665,108.64936467575153
329,82500,274.00000000000006,115.01961185428819
330,82750,302.8666666666667,111.75222592861405
331,83000,287.06666666666666,109.81264853275226
332,83250,321.8666666666667,103.2118856204717
333,83500,262.4,122.30261194630673
334,83750,295.6,119.30752048569464
335,84000,308.4666666666667,102.93829867125905
336,84250,299.3333333333333,107.29668111259443
337,84500,291.0,109.57128577627748
338,84750,290.4,108.7399344000783
339,85000,296.06666666666666,105.5603881934675
340,85250,287.93333333333334,106.80894677465513
341,85500,292.66666666666663,106.9435988422558
