,eval_timesteps,eval_mean_returns,eval_std_returns
0,250,9.4,0.24944382578492913
1,500,13.333333333333334,7.837233071832318
2,750,29.93333333333333,26.34337361336496
3,1000,30.200000000000006,27.60724542579357
4,1250,21.933333333333334,15.449415666763725
5,1500,10.8,3.10984101058416
6,1750,11.200000000000001,4.102032016777375
7,2000,12.733333333333333,6.667999866693327
8,2250,30.26666666666667,17.41059702850218
9,2500,40.33333333333333,25.147564494399848
10,2750,40.06666666666667,24.397996274739903
11,3000,66.80000000000001,54.44981379419237
12,3250,84.4,57.395857380515224
13,3500,69.06666666666668,37.87957526454359
14,3750,76.53333333333333,25.507820151649355
15,4000,86.6,31.281091200063123
16,4250,101.33333333333334,57.60131171345937
17,4500,59.86666666666666,18.13847966188028
18,4750,86.6,64.11912524529808
19,5000,55.66666666666667,24.00092590806539
20,5250,74.46666666666667,32.214282546721414
21,5500,74.86666666666667,34.51543937943649
22,5750,59.6,15.084060755939989
23,6000,68.66666666666666,30.45506708433115
24,6250,81.33333333333334,22.708784399189867
25,6500,67.80000000000001,27.279296178604024
26,6750,66.46666666666667,18.425344863348784
27,7000,72.33333333333333,27.718425480375164
28,7250,65.86666666666666,22.236706390810465
29,7500,60.0,20.04993765576342
30,7750,130.4,124.31347473222684
31,8000,94.4,70.81067088448684
32,8250,62.6,19.47237359269109
33,8500,71.6,20.6885905217774
34,8750,119.93333333333332,42.4166633922723
35,9000,117.6,58.45811415972218
36,9250,78.26666666666667,21.77603167603215
37,9500,75.33333333333333,26.539697729167067
38,9750,78.26666666666667,34.85806139825398
39,10000,90.2,41.88959032716574
40,10250,88.60000000000001,38.24738190023236
41,10500,87.4,40.70621028240723
42,10750,85.86666666666666,40.19983416217866
43,11000,99.53333333333333,29.012334541631695
44,11250,142.40000000000003,61.52954123382072
45,11500,141.4,99.98275406844478
46,11750,160.0,107.64777956114305
47,12000,159.93333333333334,109.86241901173992
48,12250,118.93333333333332,29.46515833243656
49,12500,190.06666666666666,75.34141549565477
