,eval_timesteps,eval_mean_returns,eval_std_returns
0,250,26.46666666666667,24.3799553367561
1,500,25.53333333333333,15.1651647608004
2,750,50.06666666666667,42.606937358969034
3,1000,40.133333333333326,10.542190369073106
4,1250,41.46666666666667,25.222212432695112
5,1500,43.00000000000001,27.609177218212547
6,1750,48.66666666666667,44.72086264324019
7,2000,36.06666666666667,17.07681989650818
8,2250,45.8,31.262046566972476
9,2500,45.93333333333334,20.79145123468885
10,2750,66.0,28.64107384703149
11,3000,41.6,13.086719307077011
12,3250,41.2,12.779497468819168
13,3500,68.8,42.91832035648905
14,3750,58.86666666666666,36.61730010072652
15,4000,52.533333333333324,20.018435947340585
16,4250,56.26666666666667,20.33103812182524
17,4500,67.06666666666666,20.908690378245435
18,4750,60.73333333333333,10.49105439039481
19,5000,73.06666666666666,38.577713773628425
20,5250,77.06666666666665,40.03076594598487
21,5500,71.8,29.953000220716156
22,5750,77.06666666666668,27.640067534890964
23,6000,82.86666666666667,23.46780300279039
24,6250,67.99999999999999,10.58930277843321
25,6500,66.73333333333333,17.631285325302358
26,6750,73.26666666666667,23.16836924199313
27,7000,70.66666666666666,23.626726862225805
28,7250,59.06666666666666,14.213295809831644
29,7500,75.93333333333332,33.428796634704696
30,7750,79.46666666666665,29.726606114911785
31,8000,96.06666666666666,40.163775829581674
32,8250,112.13333333333335,42.464416476229445
33,8500,89.46666666666667,28.172957877289985
34,8750,78.66666666666666,10.65624490876385
35,9000,95.26666666666668,22.481004327110377
36,9250,75.13333333333334,9.590736271122369
37,9500,87.66666666666667,14.77535485567474
38,9750,110.73333333333332,54.69974608919334
39,10000,92.26666666666667,32.432082880999175
40,10250,111.53333333333333,37.18876771882129
41,10500,143.4,35.99654304389674
42,10750,97.46666666666667,26.657998591208777
43,11000,76.53333333333333,15.334202873895261
44,11250,73.06666666666666,20.389975750625872
45,11500,77.93333333333334,23.012460392868324
46,11750,70.6,10.218501738404598
47,12000,90.06666666666666,7.8525296702541825
48,12250,87.93333333333334,1.0624918300339459
49,12500,103.06666666666668,33.012724819378356
50,12750,121.46666666666667,19.34206699284116
51,13000,124.0,34.85844389973699
52,13250,92.6,16.303237578945954
53,13500,104.6,45.17737880350692
54,13750,134.46666666666664,118.23077245605542
55,14000,158.2,162.81203886690935
56,14250,139.4,117.73008678045444
57,14500,147.33333333333334,167.65122526642426
58,14750,152.13333333333335,163.6946479814712
59,15000,146.46666666666664,100.53890347080136
60,15250,126.93333333333332,50.2608307841316
61,15500,117.13333333333333,40.317407324049654
62,15750,101.13333333333333,36.30157633553183
63,16000,117.93333333333335,26.90344876694353
64,16250,132.53333333333333,74.87429465444065
65,16500,193.26666666666665,82.97694458904432
66,16750,170.20000000000002,44.48100718284154
67,17000,113.6,18.889620900848637
68,17250,103.93333333333335,18.886091296095245
69,17500,123.33333333333333,26.930362872498474
70,17750,112.13333333333333,33.0377561788529
71,18000,127.8,36.25195780153735
72,18250,128.66666666666669,54.48302487931448
73,18500,165.46666666666664,75.17168497660685
74,18750,138.26666666666668,56.36168911592341
75,19000,123.66666666666667,38.00175434546849
76,19250,141.93333333333334,77.09716812784588
77,19500,111.13333333333335,61.62849268894308
78,19750,133.8,72.80219776902344
79,20000,98.0,28.04123947173361
80,20250,128.93333333333334,53.17702093532089
81,20500,178.8,71.22689878908888
82,20750,196.53333333333333,90.56283270010202
83,21000,197.86666666666665,159.34736339902906
84,21250,172.86666666666665,96.1694338134524
85,21500,174.26666666666668,93.39983345214748
86,21750,171.6,81.3733235021022
87,22000,228.46666666666664,144.68073664298075
88,22250,218.8,154.36084707953344
89,22500,214.53333333333336,85.66150438401917
90,22750,239.73333333333335,88.5290661622247
91,23000,251.6,132.5961956886815
92,23250,260.46666666666664,133.07635235290886
93,23500,250.8,135.8742228844178
94,23750,282.8666666666667,165.7191197981291
